,rpId,direction,x,y,z,dx,dy
0,0,u,0.513999998569,56.0040016174,-203.379299927,-0.707000017166,0.707000017166
1,0,v,-0.513999998569,56.0040016174,-203.374700928,0.707000017166,0.707000017166
2,1,u,-0.513999998569,-56.3530006409,-203.379299927,0.707000017166,-0.707000017166
3,1,v,0.513999998569,-56.3530006409,-203.374700928,-0.707000017166,-0.707000017166
4,2,u,57.1399993896,-0.513999998569,-203.829299927,0.707000017166,0.707000017166
5,2,v,57.1399993896,0.513999998569,-203.824700928,0.707000017166,-0.707000017166
6,3,u,21.7633995056,2.88819999695,-212.552301025,0.606200003624,0.795000016689
7,3,v,21.6203998565,3.90619997978,-212.547698975,0.795000016689,-0.606400001049
8,4,u,-2.42899999619,19.8470001221,-213.002301025,-0.797999978065,0.602799987793
9,4,v,-3.44699997902,19.7024002075,-212.997698975,0.602599990368,0.797999989986
10,5,u,2.56160001755,-20.2006000519,-213.002301025,0.7992000103,-0.601200008392
11,5,v,3.57820005417,-20.0576000214,-212.997698975,-0.601200008392,-0.799400019646
12,20,u,-0.0363999992609,20.3289997101,-214.630300903,-0.707000017166,0.707200014591
13,20,v,-1.06339999437,20.3280002594,-214.625701904,0.707200014591,0.707400012016
14,21,u,-0.88140001297,-20.5847999573,-214.630300903,0.707600009442,-0.706599998474
15,21,v,0.159400001168,-20.5978000641,-214.625701904,-0.706599998474,-0.707600009442
16,22,u,21.6945999145,0.58600000143,-215.080300903,0.712200009823,0.701800012589
17,22,v,21.6942001343,1.61380000114,-215.075698853,0.701800012589,-0.712200009823
18,23,u,21.2182003021,-0.285199996829,-219.552301025,0.708599996567,0.705799973011
19,23,v,21.2173995972,0.741200006008,-219.547698975,0.705799973011,-0.708599996567
20,24,u,0.396399998665,20.7756000519,-220.002301025,-0.70680000782,0.707200014591
21,24,v,-0.631199991703,20.7760002136,-219.997698975,0.707200014591,0.707000017166
22,25,u,-0.390799990296,-21.1253997803,-220.002301025,0.707000017166,-0.707000017166
23,25,v,0.637199997902,-21.1253993988,-219.997698975,-0.707000017166,-0.707000017166
24,100,u,-0.513999998569,56.0120010376,203.379299927,0.707000017166,0.707000017166
25,100,v,0.513999998569,56.0120010376,203.374700928,-0.707000017166,0.707000017166
26,101,u,0.513999998569,-56.0589981079,203.379299927,-0.707000017166,-0.707000017166
27,101,v,-0.513999998569,-56.0589981079,203.374700928,0.707000017166,-0.707000017166
28,102,u,57.1290016174,0.513999998569,203.829299927,0.707000017166,-0.707000017166
29,102,v,57.1290016174,-0.513999998569,203.824700928,0.707000017166,0.707000017166
30,103,u,21.8439998627,4.05260004997,212.552301025,0.796399998665,-0.604600000381
31,103,v,21.9870002747,3.03479995728,212.547698975,0.604600000381,0.79659999609
32,104,u,-3.42380003929,19.9698001862,213.002301025,0.601999998093,0.798199987411
33,104,v,-2.40599999428,20.1127998352,212.997698975,-0.798399996757,0.602199995518
34,105,u,3.71619997025,-19.972000122,213.002301025,-0.601800000668,-0.79880001545
35,105,v,2.6986000061,-20.1153995514,212.997698975,0.79880001545,-0.601999998093
36,120,u,0.132999999821,22.0302001953,214.630300903,0.693200016022,0.720800018311
37,120,v,1.15900001526,22.0317996979,214.625701904,-0.720800018311,0.693000018597
38,121,u,0.411600005627,-20.5714000702,214.630300903,-0.708000004292,-0.706199979782
39,121,v,-0.616199994087,-20.5706001282,214.625701904,0.706199979782,-0.707800006867
40,122,u,21.7817996979,1.64800000191,215.080300903,0.703600001335,-0.71060000658
41,122,v,21.7819999695,0.620200002193,215.075698853,0.71060000658,0.70379999876
42,123,u,21.0701999664,0.580199992657,219.552301025,0.703999996185,-0.710199987888
43,123,v,21.0700000763,-0.447199994326,219.547698975,0.709999978542,0.70419999361
44,124,u,-1.07019999027,21.0100002289,220.002301025,0.707600009442,0.706599998474
45,124,v,-0.0423999991268,21.0100002289,219.997698975,-0.706599998474,0.707600009441
46,125,u,-0.197400000692,-21.1959999084,220.002301025,-0.705799984932,-0.708399999142
47,125,v,-1.22500002384,-21.1961997986,219.997698975,0.708200001717,-0.705999982357
