detId,x,y,z,dx,dy
0,-0.513999998569,56.0040016174,-203.356704712,0.707000017166,0.707000017166
1,0.513999998569,56.0040016174,-203.361297607,-0.707000017166,0.707000017166
2,-0.513999998569,56.0040016174,-203.365707397,0.707000017166,0.707000017166
3,0.513999998569,56.0040016174,-203.370300293,-0.707000017166,0.707000017166
4,-0.513999998569,56.0040016174,-203.374694824,0.707000017166,0.707000017166
5,0.513999998569,56.0040016174,-203.379302979,-0.707000017166,0.707000017166
6,-0.513999998569,56.0040016174,-203.38369751,0.707000017166,0.707000017166
7,0.513999998569,56.0040016174,-203.388305664,-0.707000017166,0.707000017166
8,-0.513999998569,56.0040016174,-203.392700195,0.707000017166,0.707000017166
9,0.513999998569,56.0040016174,-203.397293091,-0.707000017166,0.707000017166
10,0.513999998569,-56.3530006409,-203.356704712,-0.707000017166,-0.707000017166
11,-0.513999998569,-56.3530006409,-203.361297607,0.707000017166,-0.707000017166
12,0.513999998569,-56.3530006409,-203.365707397,-0.707000017166,-0.707000017166
13,-0.513999998569,-56.3530006409,-203.370300293,0.707000017166,-0.707000017166
14,0.513999998569,-56.3530006409,-203.374694824,-0.707000017166,-0.707000017166
15,-0.513999998569,-56.3530006409,-203.379302979,0.707000017166,-0.707000017166
16,0.513999998569,-56.3530006409,-203.38369751,-0.707000017166,-0.707000017166
17,-0.513999998569,-56.3530006409,-203.388305664,0.707000017166,-0.707000017166
18,0.513999998569,-56.3530006409,-203.392700195,-0.707000017166,-0.707000017166
19,-0.513999998569,-56.3530006409,-203.397293091,0.707000017166,-0.707000017166
20,57.1399993896,0.513999998569,-203.80670166,0.707000017166,-0.707000017166
21,57.1399993896,-0.513999998569,-203.811294556,0.707000017166,0.707000017166
22,57.1399993896,0.513999998569,-203.815704346,0.707000017166,-0.707000017166
23,57.1399993896,-0.513999998569,-203.820297241,0.707000017166,0.707000017166
24,57.1399993896,0.513999998569,-203.824707031,0.707000017166,-0.707000017166
25,57.1399993896,-0.513999998569,-203.829299927,0.707000017166,0.707000017166
