recoID,eventID,armID,groupID,rpID,uLineSize,vLineSize,siliconID,position,sigma_,uv_line_a,uv_line_b,uv_line_w
0,2,0,2,5,1,1,1,-9.32450008392,0.0190999992192,-0.00048318473273,4.91922903061,4.98758077621
0,2,0,2,5,1,1,3,-9.29150009155,0.0190999992192,-0.00048318473273,4.91922903061,4.98758077621
0,2,0,2,5,1,1,5,-9.29150009155,0.0190999992192,-0.00048318473273,4.91922903061,4.98758077621
0,2,0,2,5,1,1,7,-9.22550010681,0.0190999992192,-0.00048318473273,4.91922903061,4.98758077621
0,2,0,2,5,1,1,9,-9.22550010681,0.0190999992192,-0.00048318473273,4.91922903061,4.98758077621
0,2,0,2,5,1,1,0,-7.179500103,0.0190999992192,0.000366799824405,6.81208515167,4.98758077621
0,2,0,2,5,1,1,2,-7.11350011826,0.0190999992192,0.000366799824405,6.81208515167,4.98758077621
0,2,0,2,5,1,1,4,-7.04750013351,0.0190999992192,0.000366799824405,6.81208515167,4.98758077621
0,2,0,2,5,1,1,6,-7.04750013351,0.0190999992192,0.000366799824405,6.81208515167,4.98758077621
0,2,0,2,5,1,1,8,-6.91550016403,0.0190999992192,0.000366799824405,6.81208515167,4.98758077621
0,2,0,2,21,1,1,1,-8.03750038147,0.0190999992192,-0.000414658017689,6.01698112488,3.99006462097
0,2,0,2,21,1,1,3,-7.97149991989,0.0190999992192,-0.000414658017689,6.01698112488,3.99006462097
0,2,0,2,21,1,1,5,-7.90549993515,0.0190999992192,-0.000414658017689,6.01698112488,3.99006462097
0,2,0,2,21,1,1,7,-7.83949995041,0.0190999992192,-0.000414658017689,6.01698112488,3.99006462097
0,2,0,2,21,1,1,0,-8.23550033569,0.0190999992192,-0.00135345978197,6.25025749207,4.98758077621
0,2,0,2,21,1,1,2,-8.23550033569,0.0190999992192,-0.00135345978197,6.25025749207,4.98758077621
0,2,0,2,21,1,1,4,-8.20250034332,0.0190999992192,-0.00135345978197,6.25025749207,4.98758077621
0,2,0,2,21,1,1,6,-8.16950035095,0.0190999992192,-0.00135345978197,6.25025749207,4.98758077621
0,2,0,2,21,1,1,8,-8.23550033569,0.0190999992192,-0.00135345978197,6.25025749207,4.98758077621
0,2,0,2,25,1,1,1,-8.16950035095,0.0190999992192,-0.000648115004878,6.71191310883,4.98758077621
0,2,0,2,25,1,1,3,-8.03750038147,0.0190999992192,-0.000648115004878,6.71191310883,4.98758077621
